Date : 2022-09-06 14:18:57
Directory : d:\Gamedev\Unity\Projects\barista-game\Barista
Total : 114 files,  42541 codes, 689 comments, 1319 blanks, all 44549 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| XML       |         46 |     33,603 |        322 |         46 |     33,971 |
| Log       |          5 |      3,774 |          0 |        131 |      3,905 |
| C#        |         42 |      2,103 |        285 |        462 |      2,850 |
| ShaderLab |         13 |      2,015 |         61 |        557 |      2,633 |
| JSON      |          3 |        672 |          0 |          4 |        676 |
| HLSL      |          4 |        323 |         21 |         87 |        431 |
| Markdown  |          1 |         51 |          0 |         32 |         83 |
+-----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        114 |     42,541 |        689 |      1,319 |     44,549 |
| Assets                                                                                                         |         61 |      4,647 |        367 |      1,140 |      6,154 |
| Assets\Data Objects                                                                                            |          6 |        119 |          4 |         31 |        154 |
| Assets\Data Objects\Data Object Templates                                                                      |          6 |        119 |          4 |         31 |        154 |
| Assets\Scripts                                                                                                 |         36 |      2,012 |        279 |        458 |      2,749 |
| Assets\Scripts\Camera                                                                                          |          1 |        126 |          6 |         19 |        151 |
| Assets\Scripts\Core                                                                                            |         19 |      1,162 |        120 |        252 |      1,534 |
| Assets\Scripts\pEventBus                                                                                       |          4 |        202 |          0 |         73 |        275 |
| Assets\TextMesh Pro                                                                                            |         18 |      2,493 |         82 |        646 |      3,221 |
| Assets\TextMesh Pro\Shaders                                                                                    |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets\TextMesh Pro\Sprites                                                                                    |          1 |        155 |          0 |          2 |        157 |
| Logs                                                                                                           |          5 |      3,774 |          0 |        131 |      3,905 |
| Packages                                                                                                       |          2 |        517 |          0 |          2 |        519 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                                       | language  | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| d:\Gamedev\Unity\Projects\barista-game\Barista\Assembly-CSharp.csproj                                          | XML       |        796 |          7 |          1 |        804 |
| d:\Gamedev\Unity\Projects\barista-game\Barista\Assets\Data Objects\Data Object Templates\CustomerData.cs       | C#        |         24 |          1 |         10 |         35 |
| d:\Gamedev\Unity\Projects\barista-game\Barista\Assets\Data Objects\Data Object Templates\DatabaseSO.cs         | C#        |         28 |          1 |          8 |         37 |
| d:\Gamedev\Unity\Projects\barista-game\Barista\Assets\Data Objects\Data Object Templates\DayData.cs            | C#        |         21 |          2 |          7 |         30 |
| d:\Gamedev\Unity\Projects\barista-game\Barista\Assets\Data Objects\Data Object Templates\DrinkRecipeData.cs    | C#        |         20 |          0 |          2 |         22 |
| d:\Gamedev\Unity\Projects\barista-game\Barista\Assets\Data Objects\Data Object Templates\MainIngredientData.cs | C#        |         14 |          0 |          2 |         16 |
| d:\Gamedev\Unity\Projects\barista-game\Barista\Assets\Data Objects\Data Object Templates\SideIngredientData.cs | C#        |         12 |          0 |          2 |         14 |
| d:\Gamedev\Unity\Projects\barista-game\Barista\Assets\RegisterDisplay.cs                                       | C#        |         23 |          2 |          5 |         30 |
